Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,year
8,Michael Jordan,1989-90,26,CHI,NBA,19.0,82,82,39.0,12.6,24.0,11.5,21.0,1.1,3.0,7.2,8.5,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9,33.6,.526,.548,.376,.550,.848,.606,1990
22,Charles Barkley,1989-90,26,PHI,NBA,17.3,79,79,39.1,8.9,14.9,8.7,13.7,0.3,1.2,7.1,9.4,4.6,6.9,11.5,3.9,1.9,0.6,3.1,3.2,25.2,.600,.632,.217,.608,.749,.661,1990
28,Magic Johnson,1989-90,30,LAL,NBA,16.5,79,79,37.2,6.9,14.4,5.6,10.9,1.3,3.5,7.2,8.1,1.6,5.0,6.6,11.5,1.7,0.4,3.7,2.1,22.3,.480,.510,.384,.526,.890,.622,1990
41,Karl Malone,1989-90,26,UTA,NBA,15.9,82,82,38.1,11.1,19.8,11.0,19.3,0.2,0.5,8.5,11.1,2.8,8.3,11.1,2.8,1.5,0.6,3.7,3.2,31.0,.562,.567,.372,.567,.762,.626,1990
61,David Robinson,1989-90,24,SAS,NBA,15.1,82,81,36.6,8.4,15.9,8.4,15.8,0.0,0.0,7.5,10.2,3.7,8.3,12.0,2.0,1.7,3.9,3.1,3.2,24.3,.531,.532,.000,.531,.732,.597,1990
80,John Stockton,1989-90,27,UTA,NBA,14.4,78,78,37.4,6.1,11.8,5.4,10.3,0.6,1.4,4.5,5.5,0.7,1.9,2.6,14.5,2.7,0.2,3.5,3.0,17.2,.514,.528,.416,.540,.819,.607,1990
111,Patrick Ewing,1989-90,27,NYK,NBA,13.5,82,82,38.6,11.2,20.4,11.2,20.4,0.0,0.0,6.1,7.9,2.9,8.0,10.9,2.2,1.0,4.0,3.4,4.0,28.6,.551,.552,.250,.551,.775,.599,1990
203,Clyde Drexler,1989-90,27,POR,NBA,11.6,73,73,36.8,9.2,18.6,8.8,17.1,0.4,1.5,4.6,5.9,2.8,4.1,6.9,5.9,2.0,0.7,2.6,3.0,23.3,.494,.512,.283,.505,.774,.551,1990
205,Kevin Johnson,1989-90,23,PHO,NBA,11.6,74,74,37.6,7.8,15.7,7.7,15.1,0.1,0.6,6.8,8.1,0.6,3.1,3.6,11.4,1.3,0.2,3.6,1.9,22.5,.499,.510,.195,.502,.838,.585,1990
226,Tom Chambers,1989-90,30,PHO,NBA,11.2,81,81,37.6,10.0,20.0,9.7,18.9,0.3,1.1,6.9,8.0,1.5,5.6,7.0,2.3,1.1,0.6,2.7,3.2,27.2,.501,.513,.279,.508,.861,.579,1990
230,Hakeem Olajuwon,1989-90,27,HOU,NBA,11.2,82,82,38.1,9.8,19.6,9.8,19.5,0.0,0.1,4.7,6.5,3.6,10.4,14.0,2.9,2.1,4.6,3.9,3.8,24.3,.501,.502,.167,.501,.713,.541,1990
277,James Worthy,1989-90,28,LAL,NBA,10.6,80,80,37.0,8.9,16.2,8.7,15.6,0.2,0.6,3.1,4.0,2.0,4.0,6.0,3.6,1.2,0.6,2.0,2.4,21.1,.548,.557,.306,.554,.782,.586,1990
298,Chris Mullin,1989-90,26,GSW,NBA,10.2,78,78,36.3,8.7,16.3,7.6,13.3,1.1,3.0,6.5,7.3,1.7,4.3,5.9,4.1,1.6,0.6,3.1,1.8,25.1,.536,.573,.372,.570,.889,.643,1990
336,Larry Bird,1989-90,33,BOS,NBA,9.5,75,75,39.3,9.6,20.2,8.7,17.6,0.9,2.6,4.3,4.6,1.2,8.3,9.5,7.5,1.4,0.8,3.2,2.3,24.3,.473,.494,.333,.495,.930,.546,1990
376,Joe Dumars,1989-90,26,DET,NBA,8.7,75,71,34.4,6.8,14.1,6.5,13.4,0.3,0.7,4.0,4.4,0.8,2.0,2.8,4.9,0.8,0.0,1.9,1.7,17.8,.480,.485,.400,.491,.900,.555,1990
3,Michael Jordan,1990-91,27,CHI,NBA,20.3,82,82,37.0,12.1,22.4,11.7,21.3,0.4,1.1,7.0,8.2,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8,31.5,.539,.551,.312,.547,.851,.605,1991
24,David Robinson,1990-91,25,SAS,NBA,17.0,82,81,37.7,9.2,16.7,9.2,16.6,0.0,0.1,7.2,9.5,4.1,8.9,13.0,2.5,1.5,3.9,3.3,3.2,25.6,.552,.554,.143,.552,.762,.615,1991
50,Karl Malone,1990-91,27,UTA,NBA,15.5,82,82,40.3,10.3,19.6,10.3,19.4,0.0,0.2,8.3,10.8,2.9,8.9,11.8,3.3,1.1,1.0,3.0,3.3,29.0,.527,.529,.286,.528,.770,.596,1991
52,Magic Johnson,1990-91,31,LAL,NBA,15.4,79,79,37.1,5.9,12.4,4.9,9.2,1.0,3.2,6.6,7.3,1.3,5.6,7.0,12.5,1.3,0.2,4.0,1.9,19.4,.477,.532,.320,.518,.906,.623,1991
89,John Stockton,1990-91,28,UTA,NBA,14.0,82,82,37.8,6.0,11.9,5.3,9.9,0.7,2.0,4.4,5.3,0.6,2.3,2.9,14.2,2.9,0.2,3.6,2.8,17.2,.507,.541,.345,.537,.836,.604,1991
114,Charles Barkley,1990-91,27,PHI,NBA,13.4,67,67,37.3,9.9,17.4,9.3,15.1,0.7,2.3,7.1,9.8,3.9,6.3,10.1,4.2,1.6,0.5,3.1,2.6,27.6,.570,.614,.284,.589,.722,.635,1991
155,Kevin Johnson,1990-91,24,PHO,NBA,12.7,77,76,36.0,7.7,14.9,7.6,14.3,0.1,0.6,6.7,8.0,0.7,2.8,3.5,10.1,2.1,0.1,3.5,2.3,22.2,.516,.529,.205,.520,.843,.604,1991
